9/28/2021 	 5:02:57 PM 
 Current Sensitivity 	 1.000000E-7 
 This file comes from It only measurement 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	 Current 	 Filtered Current 	 
	0.311005	-1.326917E-11
	0.312005	1.893761E-11
	0.313005	-4.547595E-11
	0.314005	-4.547595E-11
	0.315005	1.893761E-11
	0.316005	-1.326917E-11
	0.317005	-4.547595E-11
	0.318005	5.114438E-11
	0.319005	1.893761E-11
	0.320005	1.893761E-11
	0.321005	5.114438E-11
	0.322005	1.893761E-11
	0.323005	1.893761E-11
	0.324005	1.893761E-11
	0.325005	-1.326917E-11
	0.326005	8.335116E-11
	0.327005	1.893761E-11
	0.328005	1.893761E-11
	0.329005	-1.326917E-11
	0.330005	1.893761E-11
	0.331005	5.114438E-11
	0.332005	-1.326917E-11
	0.333005	1.893761E-11
	0.334005	-4.547595E-11
	0.335005	5.114438E-11
	0.336005	5.114438E-11
	0.337005	1.893761E-11
	0.338005	1.893761E-11
	0.339005	-1.326917E-11
	0.340005	8.335116E-11
	0.341005	-1.326917E-11
	0.342005	-1.326917E-11
	0.343005	5.114438E-11
	0.344005	1.893761E-11
	0.345005	5.114438E-11
	0.346005	-1.326917E-11
	0.347005	5.114438E-11
	0.348005	8.335116E-11
	0.349005	5.114438E-11
	0.350005	1.893761E-11
	0.351005	-1.326917E-11
	0.352005	1.893761E-11
	0.353005	-1.326917E-11
	0.354005	1.893761E-11
	0.355005	1.893761E-11
	0.356005	-1.326917E-11
	0.357005	5.114438E-11
	0.358005	5.114438E-11
	0.359005	1.893761E-11
	0.360005	1.893761E-11
	0.361005	-1.326917E-11
	0.362005	-1.326917E-11
	0.363005	-1.326917E-11
	0.364005	1.893761E-11
	0.365005	-1.326917E-11
	0.366005	1.893761E-11
	0.367005	-1.326917E-11
	0.368005	1.893761E-11
	0.369005	1.155579E-10
	0.370005	1.893761E-11
	0.371005	-4.547595E-11
	0.372005	5.114438E-11
	0.373005	-1.326917E-11
	0.374005	-1.326917E-11
	0.375005	-4.547595E-11
	0.376005	1.893761E-11
	0.377005	1.893761E-11
	0.378005	-4.547595E-11
	0.379005	1.893761E-11
	0.380005	-1.326917E-11
	0.381005	5.114438E-11
	0.382005	5.114438E-11
	0.383005	5.114438E-11
	0.384005	-1.326917E-11
	0.385005	1.893761E-11
	0.386005	5.114438E-11
	0.387005	-4.547595E-11
	0.388005	1.893761E-11
	0.389005	-1.326917E-11
	0.390005	1.893761E-11
	0.391005	-1.326917E-11
	0.392005	-1.326917E-11
	0.393005	-1.326917E-11
	0.394005	-4.547595E-11
	0.395005	-1.326917E-11
	0.396005	5.114438E-11
	0.397005	1.893761E-11
	0.398005	-1.326917E-11
	0.399005	-1.326917E-11
	0.400005	8.335116E-11
	0.401005	-7.768272E-11
	0.402005	-1.326917E-11
	0.403005	1.893761E-11
	0.404005	-1.326917E-11
	0.405005	1.893761E-11
	0.406005	-1.326917E-11
	0.407005	-1.326917E-11
	0.408005	5.114438E-11
	0.409005	5.114438E-11
	0.410005	-1.326917E-11
	0.411005	-1.326917E-11
	0.412005	5.114438E-11
	0.413005	5.114438E-11
	0.414005	8.335116E-11
	0.415005	1.893761E-11
	0.416005	8.335116E-11
	0.417005	5.114438E-11
	0.418005	1.893761E-11
	0.419005	1.893761E-11
	0.420005	1.893761E-11
	0.421005	5.114438E-11
	0.422005	1.893761E-11
	0.423005	-4.547595E-11
	0.424005	5.114438E-11
	0.425005	-1.326917E-11
	0.426005	5.114438E-11
	0.427005	-4.547595E-11
	0.428005	-1.326917E-11
	0.429005	1.893761E-11
	0.430005	-1.326917E-11
	0.431005	1.893761E-11
	0.432005	1.893761E-11
	0.433005	5.114438E-11
	0.434005	1.893761E-11
	0.435005	-1.326917E-11
	0.436005	-1.326917E-11
	0.437005	-4.547595E-11
	0.438005	-1.326917E-11
	0.439005	1.893761E-11
	0.440005	-1.326917E-11
	0.441005	8.335116E-11
	0.442005	5.114438E-11
	0.443005	-1.326917E-11
	0.444005	-1.326917E-11
	0.445005	-1.326917E-11
	0.446005	-1.326917E-11
	0.447005	5.114438E-11
	0.448005	-1.326917E-11
	0.449005	-1.326917E-11
	0.450005	-1.326917E-11
	0.451005	-1.326917E-11
	0.452005	1.893761E-11
	0.453005	1.893761E-11
	0.454005	-1.326917E-11
	0.455005	5.114438E-11
	0.456005	1.893761E-11
	0.457005	-7.768272E-11
	0.458005	1.893761E-11
	0.459005	5.114438E-11
	0.460005	-1.326917E-11
	0.461005	1.893761E-11
	0.462005	-4.547595E-11
	0.463005	-1.326917E-11
	0.464005	-1.326917E-11
	0.465005	-1.326917E-11
	0.466005	1.893761E-11
	0.467005	-4.547595E-11
	0.468005	5.114438E-11
	0.469005	-1.326917E-11
	0.470005	-1.326917E-11
	0.471005	-7.768272E-11
	0.472005	-1.326917E-11
	0.473005	1.893761E-11
	0.474005	-1.326917E-11
	0.475005	1.893761E-11
	0.476005	-1.326917E-11
	0.477005	-1.326917E-11
	0.478005	1.893761E-11
	0.479005	-7.768272E-11
	0.480005	1.893761E-11
	0.481005	5.114438E-11
	0.482005	-1.326917E-11
	0.483005	-1.326917E-11
	0.484005	-4.547595E-11
	0.485005	-1.326917E-11
	0.486005	1.893761E-11
	0.487005	5.114438E-11
	0.488005	1.893761E-11
	0.489005	-1.098895E-10
	0.490005	1.893761E-11
	0.491005	-4.547595E-11
	0.492005	-1.326917E-11
	0.493005	-1.326917E-11
	0.494005	1.893761E-11
	0.495005	1.893761E-11
	0.496005	-1.326917E-11
	0.497005	1.893761E-11
	0.498005	-1.326917E-11
	0.499005	5.114438E-11
	0.500005	8.335116E-11
	0.501005	1.893761E-11
	0.502005	-4.547595E-11
	0.503005	1.893761E-11
	0.504005	-1.326917E-11
	0.505005	5.114438E-11
	0.506005	-1.326917E-11
	0.507005	1.893761E-11
	0.508005	1.893761E-11
	0.509005	5.114438E-11
	0.510005	-1.326917E-11
	0.511005	1.893761E-11
	0.512005	-1.326917E-11
	0.513005	1.893761E-11
	0.514005	1.893761E-11
	0.515005	8.335116E-11
	0.516005	1.893761E-11
	0.517005	1.893761E-11
	0.518005	5.114438E-11
	0.519005	5.114438E-11
	0.520005	1.893761E-11
	0.521005	-4.547595E-11
	0.522005	5.114438E-11
	0.523005	1.893761E-11
	0.524005	1.893761E-11
	0.525005	1.893761E-11
	0.526005	1.893761E-11
	0.527005	-4.547595E-11
	0.528005	1.893761E-11
	0.529005	-1.326917E-11
	0.530005	1.893761E-11
	0.531005	5.114438E-11
	0.532005	1.893761E-11
	0.533005	1.893761E-11
	0.534005	1.893761E-11
	0.535005	-7.768272E-11
	0.536005	1.893761E-11
	0.537005	1.893761E-11
	0.538005	-1.326917E-11
	0.539005	1.893761E-11
	0.540005	1.893761E-11
	0.541005	-1.326917E-11
	0.542005	-1.326917E-11
	0.543005	-1.326917E-11
	0.544005	-1.326917E-11
	0.545005	1.893761E-11
	0.546005	-4.547595E-11
	0.547005	1.893761E-11
	0.548005	1.893761E-11
	0.549005	-1.326917E-11
	0.550005	1.893761E-11
	0.551005	1.893761E-11
	0.552005	-1.326917E-11
	0.553005	-1.326917E-11
	0.554005	-1.326917E-11
	0.555005	-1.326917E-11
	0.556005	-1.326917E-11
	0.557005	-4.547595E-11
	0.558005	-1.326917E-11
	0.559005	1.893761E-11
	0.560005	-4.547595E-11
	0.561005	-1.326917E-11
	0.562005	5.114438E-11
	0.563005	-4.547595E-11
	0.564005	-1.326917E-11
	0.565005	-1.326917E-11
	0.566005	1.893761E-11
	0.567005	1.893761E-11
	0.568005	-1.326917E-11
	0.569005	-1.326917E-11
	0.570005	-1.326917E-11
	0.571005	5.114438E-11
	0.572005	-1.326917E-11
	0.573005	5.114438E-11
	0.574005	1.893761E-11
	0.575005	-1.326917E-11
	0.576005	1.893761E-11
	0.577005	-1.326917E-11
	0.578005	-1.326917E-11
	0.579005	5.114438E-11
	0.580005	1.893761E-11
